chapter	section	section_time_onset	section_time_offset	whole_time_onset	whole_time_offset	sentence_id	token_id	token	surprisal	maybe_mismatch
1	1	46.81	47.294	46.81	47.294	10	8	frightened	8.590692	FALSE
1	1	47.294	47.444	47.294	47.444	10	9	by	2.675126	FALSE
1	1	47.444	47.558	47.444	47.558	10	10	a	2.786957	FALSE
1	1	47.558	48.092	47.558	48.092	10	11	hat	12.004363	FALSE
1	1	49.13	49.315	49.13	49.315	11	1	My	0	FALSE
1	1	49.315	49.665	49.315	49.665	11	2	drawing	15.055978	FALSE
1	1	49.665	49.829	49.665	49.829	11	3	was	4.223268	FALSE
1	1	49.829	50.035	49.829	50.035	11	4	not	5.52629	FALSE
1	1	50.035	50.145	50.035	50.145	11	5	of	7.648907	FALSE
1	1	50.145	50.243	50.145	50.243	11	6	a	3.09028	FALSE
1	1	50.243	50.645	50.243	50.645	11	7	hat	13.787132	FALSE
1	1	51.109	51.503	51.109	51.503	12	1	It	0	FALSE
1	1	51.503	51.754	51.503	51.754	12	2	showed	11.408548	FALSE
1	1	51.754	51.814	51.754	51.814	12	3	a	3.670457	FALSE
1	1	51.814	52.194	51.814	52.194	12	4	bo	14.814967	FALSE
1	1	52.194	52.854	52.194	52.854	12	6	const	0.180586	FALSE
1	1	52.854	53.555	52.854	53.555	12	9	digest	16.497049	FALSE
1	1	53.555	53.667	53.555	53.667	12	11	an	5.653417	FALSE
1	1	53.667	54.232	53.667	54.232	12	12	elephant	6.105505	FALSE
1	1	55.085	55.583	55.085	55.583	13	1	I	0	FALSE
1	1	55.583	55.887	55.583	55.887	13	2	then	10.152751	FALSE
1	1	55.887	56.1	55.887	56.1	13	3	drew	9.494891	FALSE
1	1	56.1	56.254	56.1	56.254	13	4	the	3.357062	FALSE
1	1	56.254	56.78	56.254	56.78	13	5	inside	12.7273	FALSE
1	1	56.78	56.87	56.78	56.87	13	6	of	0.688297	FALSE
1	1	56.87	56.95	56.87	56.95	13	7	the	1.255744	FALSE
1	1	56.95	57.24	56.95	57.24	13	8	bo	12.213647	FALSE
1	1	57.24	58.12	57.24	58.12	13	10	const	0.852542	FALSE
1	1	58.12	58.37	58.12	58.37	13	13	so	7.529749	FALSE
1	1	58.37	58.51	58.37	58.51	13	14	that	0.853726	FALSE
1	1	58.51	58.6	58.51	58.6	13	15	the	2.222597	FALSE
1	1	58.6	59.17	58.6	59.17	13	16	grown	15.975598	FALSE
1	1	59.17	59.32	59.17	59.32	13	18	could	0.487987	FALSE
1	1	59.32	60.093	59.32	60.093	13	19	understand	9.80355	FALSE
1	1	60.612	60.737	60.612	60.737	14	1	They	0	FALSE
1	1	60.737	61.167	60.737	61.167	14	2	always	9.751155	FALSE
1	1	61.167	61.337	61.167	61.337	14	3	need	7.899773	FALSE
1	1	61.337	61.427	61.337	61.427	14	4	to	1.086002	FALSE
1	1	61.427	61.692	61.427	61.692	14	5	have	4.533673	FALSE
1	1	61.692	61.987	61.692	61.987	14	6	things	8.478765	FALSE
1	1	61.987	62.676	61.987	62.676	14	7	explained	10.209162	FALSE
1	1	63.594	63.803	63.594	63.803	15	1	My	0	FALSE
1	1	63.803	64.152	63.803	64.152	15	2	drawing	15.055978	FALSE
1	1	64.152	64.512	64.152	64.512	15	3	Number	21.919309	FALSE
1	1	64.512	64.954	64.512	64.954	15	4	two	7.557242	FALSE
1	1	64.954	65.279	64.954	65.279	15	5	looked	11.856111	FALSE
1	1	65.279	65.549	65.279	65.549	15	6	like	1.368608	FALSE
1	1	65.549	65.973	65.549	65.973	15	7	this	1.622756	FALSE
1	1	67.14	67.205	67.14	67.205	16	1	The	0	FALSE
1	1	67.205	67.794	67.205	67.794	16	2	grown	14.91928	FALSE
1	1	67.794	68.201	67.794	68.201	16	4	advised	16.583735	FALSE
1	1	68.201	68.285	68.201	68.285	16	5	me	3.331004	FALSE
1	1	68.285	68.449	68.285	68.449	16	6	to	0.936937	FALSE
1	1	68.449	68.735	68.449	68.735	16	7	leave	6.29612	FALSE
1	1	68.735	69.245	68.735	69.245	16	8	aside	11.927619	FALSE
1	1	69.245	69.76	69.245	69.76	16	9	drawings	17.245376	FALSE
1	1	69.76	69.825	69.76	69.825	16	10	of	2.081709	FALSE
1	1	69.825	70.185	69.825	70.185	16	11	bo	13.193447	FALSE
1	1	70.185	71.013	70.185	71.013	16	13	const	0.198598	FALSE
1	1	71.013	71.34	71.013	71.34	16	16	open	16.775221	FALSE
1	1	71.34	71.455	71.34	71.455	16	17	or	6.027973	FALSE
1	1	71.455	72.355	71.455	72.355	16	18	closed	3.863075	FALSE
1	1	72.355	72.515	72.355	72.515	16	19	and	3.451961	FALSE
1	1	72.515	72.595	72.515	72.595	16	20	to	3.325353	FALSE
1	1	72.595	72.965	72.595	72.965	16	21	apply	9.112329	FALSE
1	1	72.965	73.515	72.965	73.515	16	22	myself	8.026433	FALSE
1	1	73.515	74.175	73.515	74.175	16	23	instead	6.112035	FALSE
1	1	74.175	74.355	74.175	74.355	16	24	to	0.611061	FALSE
1	1	74.355	75.245	74.355	75.245	16	25	geography	14.355725	FALSE
1	1	75.245	75.815	75.245	75.815	16	26	history	13.693197	FALSE
1	1	75.815	76.775	75.815	76.775	16	27	arithmetic	22.508096	FALSE
1	1	76.775	76.925	76.775	76.925	16	28	and	2.873454	FALSE
1	1	76.925	77.391	76.925	77.391	16	29	grammar	8.944223	FALSE
1	1	78.254	78.839	78.254	78.839	17	1	Thus	0	FALSE
1	1	78.839	79.029	78.839	79.029	17	2	I	7.081724	FALSE
1	1	79.029	79.609	79.029	79.609	17	3	abandoned	14.899207	FALSE
1	1	79.609	79.709	79.609	79.709	17	4	at	11.371676	FALSE
1	1	79.709	79.843	79.709	79.843	17	5	the	2.342585	FALSE
1	1	79.843	80.117	79.843	80.117	17	6	age	6.998821	FALSE
1	1	80.117	80.189	80.117	80.189	17	7	of	0.011162	FALSE
1	1	80.189	80.999	80.189	80.999	17	8	six	6.748681	FALSE
1	1	80.999	81.096	80.999	81.096	17	9	a	3.755088	FALSE
1	1	81.096	82.069	81.096	82.069	17	10	magnificent	12.295487	FALSE
1	1	82.069	82.529	82.069	82.529	17	11	career	6.871092	FALSE
1	1	82.529	82.639	82.529	82.639	17	12	as	3.125267	FALSE
1	1	82.639	82.714	82.639	82.714	17	13	a	0.416129	FALSE
1	1	82.714	83.173	82.714	83.173	17	14	painter	5.322646	FALSE
1	1	83.716	83.859	83.716	83.859	18	1	I	0	FALSE
1	1	83.859	84.021	83.859	84.021	18	2	was	6.132429	FALSE
1	1	84.021	84.791	84.021	84.791	18	3	discouraged	14.136622	FALSE
1	1	84.791	84.961	84.791	84.961	18	4	by	2.134047	FALSE
1	1	84.961	85.045	84.961	85.045	18	5	the	1.428614	FALSE
1	1	85.045	85.531	85.045	85.531	18	6	failure	9.199725	FALSE
1	1	85.531	85.646	85.531	85.646	18	7	of	0.516125	FALSE
1	1	85.646	85.818	85.646	85.818	18	8	my	4.456358	FALSE
1	1	85.818	86.261	85.818	86.261	18	9	drawing	14.290616	FALSE
1	1	86.261	86.61	86.261	86.61	18	10	Number	22.221931	FALSE
1	1	86.61	87.004	86.61	87.004	18	11	one	5.867973	FALSE
1	1	87.004	87.201	87.004	87.201	18	12	and	4.71894	FALSE
1	1	87.201	87.321	87.201	87.321	18	13	of	8.90298	FALSE
1	1	87.321	87.534	87.321	87.534	18	14	my	1.603611	FALSE
1	1	87.534	87.912	87.534	87.912	18	15	drawing	2.440434	FALSE
1	1	87.912	88.191	87.912	88.191	18	16	Number	0.455108	FALSE
1	1	88.191	88.61	88.191	88.61	18	17	two	0.461956	FALSE
1	1	89.054	89.746	89.054	89.746	19	1	G	0	FALSE
1	1	89.746	90.069	89.746	90.069	19	4	never	10.876997	FALSE
1	1	90.069	90.686	90.069	90.686	19	5	understand	10.018336	FALSE
1	1	90.686	91.049	90.686	91.049	19	6	anything	7.945824	FALSE
1	1	91.049	91.259	91.049	91.259	19	7	by	9.101087	FALSE
1	1	91.259	92.309	91.259	92.309	19	8	themselves	1.98871	FALSE
1	1	92.309	92.439	92.309	92.439	19	9	and	4.570752	FALSE
1	1	92.439	92.549	92.439	92.549	19	10	it	5.301874	FALSE
1	1	92.549	92.669	92.549	92.669	19	11	is	2.913535	FALSE
1	1	92.669	93.359	92.669	93.359	19	12	tires	14.6863	FALSE
1	1	93.359	93.499	93.359	93.499	19	14	for	4.50905	FALSE
1	1	93.499	93.979	93.499	93.979	19	15	children	7.891035	FALSE
1	1	93.979	94.119	93.979	94.119	19	16	to	0.796557	FALSE
1	1	94.119	94.509	94.119	94.509	19	17	always	10.495969	FALSE
1	1	94.509	95.264	94.509	95.264	19	18	explain	10.103581	FALSE
1	1	95.264	95.679	95.264	95.679	19	19	things	3.019196	FALSE
1	1	95.679	95.889	95.679	95.889	19	20	for	6.6543	FALSE
1	1	95.889	96.026	95.889	96.026	19	21	them	2.271871	FALSE
1	1	96.026	96.309	96.026	96.309	19	22	again	11.899506	FALSE
1	1	96.309	96.459	96.309	96.459	19	23	and	1.05104	FALSE
1	1	96.459	96.912	96.459	96.912	19	24	again	0.11219	FALSE
1	1	97.465	97.85	97.465	97.85	20	1	So	0	FALSE
1	1	97.85	97.98	97.85	97.98	20	2	i	11.503871	FALSE
1	1	97.98	98.2	97.98	98.2	20	3	had	5.813655	FALSE
1	1	98.2	98.35	98.2	98.35	20	4	to	2.307864	FALSE
1	1	98.35	98.668	98.35	98.668	20	5	choose	7.77269	FALSE
1	1	98.668	98.94	98.668	98.94	20	6	another	7.473832	FALSE
1	1	98.94	99.805	98.94	99.805	20	7	profession	11.223684	FALSE
1	1	99.805	99.94	99.805	99.94	20	8	and	3.482816	FALSE
1	1	99.94	100.071	99.94	100.071	20	9	I	5.099872	FALSE
1	1	100.071	100.33	100.071	100.33	20	10	learned	8.493881	FALSE
1	1	100.33	100.4	100.33	100.4	20	11	to	3.311514	FALSE
1	1	100.4	100.7	100.4	100.7	20	12	fly	8.518486	FALSE
1	1	100.7	101.374	100.7	101.374	20	13	airplanes	8.632823	FALSE
1	1	102.267	102.402	102.267	102.402	21	1	I	0	FALSE
1	1	102.402	102.763	102.402	102.763	21	2	flew	14.719432	FALSE
1	1	102.763	102.898	102.763	102.898	21	3	a	5.709598	FALSE
1	1	102.898	103.23	102.898	103.23	21	4	little	4.340398	FALSE
1	1	103.23	103.403	103.23	103.403	21	5	in	7.382603	FALSE
1	1	103.403	103.682	103.403	103.682	21	6	many	13.098332	FALSE
1	1	103.682	104.192	103.682	104.192	21	7	places	3.719844	FALSE
1	1	104.192	104.516	104.192	104.516	21	8	around	6.638539	FALSE
1	1	104.516	104.641	104.516	104.641	21	9	the	0.5687	FALSE
1	1	104.641	105.332	104.641	105.332	21	10	world	0.936222	FALSE
1	1	105.332	105.522	105.332	105.522	22	1	And	0	FALSE
1	1	105.522	106.072	105.522	106.072	22	2	geography	17.470797	FALSE
1	1	106.072	106.192	106.072	106.192	22	3	it	11.044458	FALSE
1	1	106.192	106.292	106.192	106.292	22	4	is	1.8635	FALSE
1	1	106.292	106.595	106.292	106.595	22	5	true	7.316489	FALSE
