,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,new-disc-stack-lc,new-disc-stack-lc-rev,new-disc-stack-bu,new-disc-stack-bu-rev,new-disc-pred-td,new-disc-pred-td-rev,new-disc-changed-lc,new-disc-changed-lc-rev,new-disc-changed-bu,new-disc-changed-bu-rev,new-disc-changed-td,new-disc-changed-td-rev,new-disc-old-lc,new-disc-old-rev,new-disc-old-td,new-disc-old-bu,new-disc-filler-gap,new-disc-filler-gap-only-filler,new-disc-filler-gap-only-gap,new-disc-filler-gap-only-rule-1,new-disc-filler-gap-only-rule-2,new-disc-filler-gap-only-rule-3,new-disc-filler-gap-only-rule-4,new-disc-filler-gap-only-rule-5,new-disc-filler-gap-only-rule-6,new-disc-filler-gap-only-rule-7,new-proj-stack-lc,new-proj-stack-lc-rev,new-proj-stack-bu,new-proj-stack-bu-rev,new-proj-pred-td,new-proj-pred-td-rev,new-proj-changed-lc,new-proj-changed-lc-rev,new-proj-changed-bu,new-proj-changed-bu-rev,new-proj-changed-td,new-proj-changed-td-rev,new-proj-old-lc,new-proj-old-rev,new-proj-old-td,new-proj-old-bu,new-proj-filler-gap,new-proj-filler-gap-only-filler,new-proj-filler-gap-only-gap,new-proj-filler-gap-only-rule-1,new-proj-filler-gap-only-rule-2,new-proj-filler-gap-only-rule-3,new-proj-filler-gap-only-rule-4,new-proj-filler-gap-only-rule-5,new-proj-filler-gap-only-rule-6,new-proj-filler-gap-only-rule-7
13713,一,一,515.23,515.31,11.4288871621941,NUM,8,3,2,3,2395,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13714,周年,周年,515.31,515.64,6.310023727212031,NOUN,8,2,4,3,2395,1,1,1,1,1,1,5,5,4,4,4,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,4,4,4,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0
13715,了,了,515.64,515.83,11.717088826693631,PART,8,2,10,3,2395,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13716,接着,接着,516.97,517.38,5.935333252659091,ADV,8,3,2,3,2396,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13717,沉默,沉默,517.89,518.27,4.903450893949641,VERB,8,3,1,2,2397,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
13718,了,了,518.27,518.35,11.717088826693631,PART,8,1,1,1,2397,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13719,一会儿,一会儿,518.35,518.71,4.790370927282889,ADV,8,2,4,3,2397,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13720,他,他,519.3,519.44,10.667244187208931,PRON,8,2,2,2,2398,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13721,又,又,519.44,519.59,9.206756758496828,ADV,8,3,2,3,2398,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13722,说道,说道,519.59,519.97,5.742294603489565,VERB,8,2,1,2,2398,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13723,我,我,520.9,521.05,10.534098233242508,PRON,8,3,2,3,2399,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13724,就,就,521.05,521.2,10.143313771089671,ADV,8,3,2,3,2399,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13725,落,落,521.2,521.36,5.969139691666959,VERB,8,2,1,2,2399,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13726,在,在,521.36,521.48,11.76214703363635,ADP,8,2,1,2,2399,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13727,这,这,521.48,521.62,11.129278789292488,DET,8,3,2,3,2399,1,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13728,附近,附近,521.62,522.02,6.462906204395592,NOUN,8,2,10,3,2399,1,1,1,1,0,0,6,6,6,6,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,6,6,6,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0
13729,此时,此时,522.95,523.4,-0.6931471805599453,NOUN,8,3,2,3,2400,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13730,他,他,523.86,523.97,10.667244187208931,PRON,8,4,2,3,2401,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,4,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
13731,的,的,523.97,524.04,13.549001743000456,PART,8,1,2,2,2401,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13732,面颊,面颊,524.04,524.37,0.7594029763370106,NOUN,8,2,3,3,2401,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13733,绯红,绯红,524.37,524.84,-2.7333680090865,VERB,8,2,3,3,2401,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13734,我,我,525.64,525.75,10.534098233242508,PRON,8,3,2,3,2402,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13735,不,不,525.75,525.85,10.967124178394917,ADV,8,3,2,3,2402,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13736,知,知,525.85,525.95,7.275779475816259,VERB,8,2,1,2,2402,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
