word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,surprisal
这,这,39.21,39.35,11.129278789292488,DET,1,2,1,2,16,1.8773804567745724
幅,幅,39.35,39.47,5.254480414942203,NUM,1,2,3,3,16,5.098053825857757
杰作,杰作,39.47,39.89,3.804259605154009,NOUN,1,2,3,3,16,6.91460208776153
拿,拿,39.89,40.09,6.488578595400288,VERB,1,2,4,3,16,2.734648992362557
给,给,40.09,40.2,8.87379517269326,ADP,1,3,1,2,16,1.3827554396121466
大人,大人,40.2,40.5,4.335039843449545,NOUN,1,2,3,3,16,3.7210778571024825
看,看,40.5,40.74,9.55394241671565,VERB,1,2,5,3,16,2.247115773778828
我,我,41.41,41.51,10.534098233242508,PRON,1,3,2,3,17,1.6865386857575142
问,问,41.51,41.66,7.875194154710013,VERB,1,2,1,2,17,3.3390451478080685
他们,他们,41.66,41.99,9.915474866735266,PRON,1,2,2,2,17,5.59450984367456
我,我,42.29,42.44,10.534098233242508,PRON,1,5,2,3,17,1.0865165046333698
的,的,42.44,42.51,13.549001743000456,PART,1,1,2,2,17,2.570016716783498
画,画,42.51,42.78,5.856540756976389,NOUN,1,2,3,3,17,3.7325458914040808
是,是,42.9,43.08,11.813576063887458,VERB,1,3,1,2,17,1.6930622683616277
不,不,43.08,43.14,10.967124178394917,ADV,1,1,1,1,17,1.8858006235814715
是,是,43.14,43.27,11.813576063887458,VERB,1,1,2,2,17,1.5577922666244426
叫,叫,43.27,43.4,6.116971013472702,VERB,1,2,1,2,17,3.525351490453029
他们,他们,43.4,43.56,9.915474866735266,PRON,1,2,2,2,17,5.00965352424634
害怕,害怕,43.56,44.0,5.362896511860435,VERB,1,2,7,3,17,8.833033641253005
他们,他们,44.89,45.1,9.915474866735266,PRON,1,3,2,3,18,5.413592520416245
回答,回答,45.1,45.44,6.903608693768208,VERB,1,2,1,2,18,6.449455871386
我,我,45.44,45.55,10.534098233242508,PRON,1,2,2,2,18,1.3059592684826569
说,说,45.55,45.79,10.280013362803595,VERB,1,2,1,2,18,2.48029668678847
害怕,害怕,46.44,47.02,5.362896511860435,VERB,1,4,3,4,19,8.594575503053242
一,一,47.69,47.81,11.4288871621941,NUM,1,5,1,2,20,2.003174810728674
顶,顶,47.81,47.92,4.395189621200163,NUM,1,2,3,3,20,3.361559014309296
帽子,帽子,47.92,48.49,4.197021480250725,NOUN,1,2,3,3,20,6.5442574264493505
有,有,48.71,48.84,11.141756531663797,VERB,1,2,1,2,20,2.1921314773350677
什么,什么,48.84,49.11,9.138085113257745,DET,1,3,2,3,20,5.687502543462982
可怕,可怕,49.11,49.48,-2.513306124309698,ADJ,1,2,5,3,20,7.056095193880891
的,的,49.48,49.6,13.549001743000456,PART,1,1,6,2,20,2.106215999571895
我,我,50.55,50.66,10.534098233242508,PRON,1,6,2,3,21,1.6865386857575142
画,画,50.66,50.86,5.856540756976389,VERB,1,2,3,3,21,4.121659179653595
的,的,50.86,50.94,13.549001743000456,PART,1,1,3,2,21,1.6556378942962044
不,不,50.94,51.16,10.967124178394917,ADV,1,4,2,3,21,1.5446060630079106
是,是,51.16,51.3,11.813576063887458,VERB,1,2,1,2,21,2.539600242602436
帽子,帽子,51.3,51.7,4.197021480250725,NOUN,1,2,4,3,21,8.683902213243165
是,是,52.22,52.39,11.813576063887458,VERB,1,3,1,2,22,1.528116173972032
一,一,52.39,52.46,11.4288871621941,NUM,1,3,1,2,22,1.7765141821164776
条,条,52.46,52.64,8.22961937977071,NUM,1,2,3,3,22,3.186975855339831
巨蟒,巨蟒,52.64,53.02,-0.962334670375562,NOUN,1,2,4,3,22,8.28145639409723
在,在,53.2,53.32,11.76214703363635,VERB,1,3,1,2,22,1.5804579591725674
消化,消化,53.32,53.65,5.088466327050102,VERB,1,2,3,3,22,7.66080528324554
着,着,53.65,53.75,9.759306279287683,PART,1,2,1,2,22,4.0414505737067925
一,一,53.75,53.83,11.4288871621941,NUM,1,3,1,2,22,2.0852302854609563
头,头,53.83,53.96,6.846708255466664,NUM,1,2,3,3,22,1.4990007591596626
大象,大象,53.96,54.39,2.3196388475598733,NOUN,1,2,8,3,22,4.9006698743923245
既然,既然,55.23,55.59,6.153104965828142,SCONJ,1,4,2,3,23,6.758728458836128
大人们,大人们,55.59,55.97,2.56117300524145,NOUN,1,3,2,3,23,7.37357590105814
不,不,55.97,56.07,10.967124178394917,ADV,1,3,2,3,23,1.7601201215164897
能够,能够,56.07,56.35,8.210318513567078,VERB,1,2,1,2,23,6.382865881379152
理解,理解,56.35,56.76,7.80176400042845,VERB,1,2,1,2,23,6.687260836002633
于是,于是,57.31,57.68,6.920148168912099,ADV,1,5,2,3,24,4.715857867604481
我,我,57.99,58.11,10.534098233242508,PRON,1,2,2,2,24,1.3704613861665431
又,又,58.11,58.24,9.206756758496828,ADV,1,3,2,3,24,2.349201190490827
把,把,58.24,58.36,9.380520434905035,X,1,2,1,2,24,3.165780231631224
巨蟒,巨蟒,58.36,58.69,-0.962334670375562,NOUN,1,6,1,2,24,9.709140823277465
肚子,肚子,58.69,59.0,3.981642347308203,NOUN,1,1,2,2,24,5.886937703563724
里,里,59.0,59.13,8.88658597964225,PART,1,1,2,2,24,2.195180420389112
的,的,59.13,59.23,13.549001743000456,PART,1,1,2,2,24,0.8665565806174423
情况,情况,59.23,59.56,9.322937539789493,NOUN,1,2,3,3,24,8.606639942664666
画,画,59.56,59.7,5.856540756976389,NOUN,1,3,1,2,24,4.209604761644835
了,了,59.7,59.79,11.717088826693631,VERB,1,1,1,1,24,0.6968441470234205
出来,出来,59.79,60.1,8.020851829111212,VERB,1,1,2,2,24,4.994144561446884
以便,以便,60.57,60.8,6.706792652023244,ADV,1,3,2,3,25,5.912240595115118
让,让,60.8,60.95,8.070404713120041,VERB,1,2,1,2,25,2.9176921837564564
大人们,大人们,60.95,61.28,2.56117300524145,NOUN,1,2,2,2,25,7.698091562588163
